Filename,SMILES_rad,BDE_kJ,CS_Filename,SMILES_CS,SMILES_react
CH3-1Fo2Fo1F_rad,[C](F)(C)OC(F)(C(F)(F)OC(F)(F)F)F,523.7266137,CH3-1Fo2Fo1F,C(F)(F)(C)OC(F)(C(F)(F)OC(F)(F)F)F,C(F)(F)(C)OC(F)(C(F)(F)OC(F)(F)F)F>[C](F)(C)OC(F)(C(F)(F)OC(F)(F)F)F
PO3H-1F_rad,[C](F)(F)P(=O)(O)[O-],533.4942051,PO3H-1F,C(F)(F)(F)P(=O)(O)[O-],C(F)(F)(F)P(=O)(O)[O-]>[C](F)(F)P(=O)(O)[O-]
CCF-2F2F_rad,[C](C(F)(F)C(F)(F)F)(/C=C/F)C(F)(F)F,400.0675226,CCF-2F2F,C(F)(C(F)(F)C(F)(F)F)(/C=C/F)C(F)(F)F,C(F)(C(F)(F)C(F)(F)F)(/C=C/F)C(F)(F)F>[C](C(F)(F)C(F)(F)F)(/C=C/F)C(F)(F)F
CF3-5F_rad2,C(F)(C(F)(F)F)([C](F)C(F)(C(F)(F)C(F)(F)F)F)F,484.1198034,CF3-5F,C(F)(F)(C(F)(F)F)C(F)(F)C(F)(C(F)(F)C(F)(F)F)F,C(F)(F)(C(F)(F)F)C(F)(F)C(F)(C(F)(F)C(F)(F)F)F>C(F)(C(F)(F)F)([C](F)C(F)(C(F)(F)C(F)(F)F)F)F
NH3-2F1H_rad,[C](F)([NH3+])C(F)(F)C,522.4394996,NH3-2F1H,C(F)(F)([NH3+])C(F)(F)C,C(F)(F)([NH3+])C(F)(F)C>[C](F)([NH3+])C(F)(F)C
SO2NH-3F_rad,FC(S(=O)([NH-])=O)C(F)(F)C(F)(F)F,495.115978,SO2NH-3F,FC(F)(S(=O)([NH-])=O)C(C(F)(F)F)(F)F,FC(F)(S(=O)([NH-])=O)C(C(F)(F)F)(F)F>FC(S(=O)([NH-])=O)C(F)(F)C(F)(F)F
COH-2F1F_rad,[C](C(F)(F)F)(C=O)C(F)(F)F,437.7980882,COH-2F1F,C(F)(C(F)(F)F)(C=O)C(F)(F)F,C(F)(C(F)(F)F)(C=O)C(F)(F)F>[C](C(F)(F)F)(C=O)C(F)(F)F
OCH3-2F1H_rad,[C](F)(OC)C(F)(F)C,527.1816998,OCH3-2F1H,C(F)(F)(OC)C(F)(F)C,C(F)(F)(OC)C(F)(F)C>[C](F)(OC)C(F)(F)C
OCH3-1F1FFH_rad,[C](F)(OC)C(F)F,525.315444,OCH3-1F1FFH,C(F)(F)(OC)C(F)F,C(F)(F)(OC)C(F)F>[C](F)(OC)C(F)F
NH2-5F_rad3,C(F)(N)(C(F)([C](C(F)(F)C(F)(F)F)F)F)F,484.0336071,NH2-5F,C(F)(F)(N)C(F)(F)C(F)(C(F)(F)C(F)(F)F)F,C(F)(F)(N)C(F)(F)C(F)(C(F)(F)C(F)(F)F)F>C(F)(N)(C(F)([C](C(F)(F)C(F)(F)F)F)F)F
